"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Jun 04 01:36:36 CEST 2019","Tue Jun 04 01:36:36 CEST 2019","9","","com.wallapop.functionality.loginRegister.behaviour.RegisterWallapopUserTest","","com.wallapop.functionality.loginRegister.behaviour.RegisterWallapopUserTest","registerWallapopAccount_07_selectOneFavCategory_isSaveButtonDisplayed","[C26851B] Onboarding: Select one favourite category but not save selection (Category: Real Estate)",""
"broken","Tue Jun 04 01:36:21 CEST 2019","Tue Jun 04 01:36:21 CEST 2019","12","","BankAccount)","","BankAccount)","[C12541] Delivery accounts: Register bank account with invalid IBAN(shipping_registerBankAccount_registerFailed","[C12541] Delivery accounts: Register bank account with invalid IBAN(shipping_registerBankAccount_registerFailed",""
"broken","Tue Jun 04 01:36:17 CEST 2019","Tue Jun 04 01:36:17 CEST 2019","259","","com.wallapop.functionality.search.searchConsumerGoods.behaviour.SearchConsumerGoodsTest","","com.wallapop.functionality.search.searchConsumerGoods.behaviour.SearchConsumerGoodsTest","searchConsumerGoods_05_changeLocationSearch_itemLocation","[C846] Search Consumer Goods: Filter by location entered manually",""
"broken","Tue Jun 04 01:36:15 CEST 2019","Tue Jun 04 01:36:15 CEST 2019","30","","DeliveryNumberOfShipmentsProfileTest","","DeliveryNumberOfShipmentsProfileTest","[C1677B] Delivery user profile: See the number of shipments on other profiles (exactly one)","[C1677B] Delivery user profile: See the number of shipments on other profiles (exactly one)",""
"broken","Tue Jun 04 01:36:21 CEST 2019","Tue Jun 04 01:36:21 CEST 2019","5","","com.wallapop.functionality.delivery.behaviour.DeliveryBankAccountTest","","com.wallapop.functionality.delivery.behaviour.DeliveryBankAccountTest","shipping_registerBankAccount_registerSuccess","[C12540] Delivery accounts: Register bank account with a valid name and IBAN",""
"broken","Tue Jun 04 01:36:12 CEST 2019","Tue Jun 04 01:36:12 CEST 2019","310","","com.wallapop.functionality.delivery.behaviour.DeliveryItemWeightTest","","com.wallapop.functionality.delivery.behaviour.DeliveryItemWeightTest","delivery_03_addWeightFromChatConversation_Success","[C12552] Delivery chat: Seller add shipping weight from chat conversation",""
"broken","Tue Jun 04 01:36:24 CEST 2019","Tue Jun 04 01:36:24 CEST 2019","11","","com.wallapop.functionality.chat.conversation.behaviour.ConversationMessagingTest","","com.wallapop.functionality.chat.conversation.behaviour.ConversationMessagingTest","Conversation_Messaging_12_SendMultilineMessage_IsMessageSent","Conversation messages: Send a multiline message",""
"broken","Tue Jun 04 01:36:13 CEST 2019","Tue Jun 04 01:36:13 CEST 2019","14","","com.wallapop.functionality.delivery.behaviour.DeliveryPayItemTest","","com.wallapop.functionality.delivery.behaviour.DeliveryPayItemTest","payItem_itemCategoryNotAllowed_NoDeliveryBarDisplayed","[C12561] Delivery chat: Buyer sends shipping offer for a not allowed item category",""
"broken","Tue Jun 04 01:36:37 CEST 2019","Tue Jun 04 01:36:37 CEST 2019","337","","HelpTest","","HelpTest","[C754] Contact us: Open a Helpshift ticket from the FAQs","[C754] Contact us: Open a Helpshift ticket from the FAQs",""
"broken","Tue Jun 04 01:36:36 CEST 2019","Tue Jun 04 01:36:36 CEST 2019","22","","User, String)","","User, String)","[C26851C] Onboarding: Select favourite categories (Categories: Cars|Motor & Accesories)(registerWallapopAccount_08_selectFavCategories_isWallDisplayed","[C26851C] Onboarding: Select favourite categories (Categories: Cars|Motor & Accesories)(registerWallapopAccount_08_selectFavCategories_isWallDisplayed",""
